,Coord,Contrib,Cos²
players,-0.23635777331411612,0.0009247223386754717,0.010718954171653198
polonius,0.20122713187337107,0.0004915255181459909,0.00903112285587376
poor,-0.08313221017312702,9.151667019606346e-05,0.0015431109823619913
pray,0.14381636448920282,0.0005477825130698155,0.006325997188190604
put,0.15119859537503694,0.00042886908848897344,0.005965374605930007
queen,-0.1551559239035147,0.000743832354616914,0.01070097920251474
reason,-0.3714403933024528,0.001979255787544012,0.06946335005476728
rosencrantz,0.17785604854079132,0.0005236111039490445,0.006185664673744969
say,-0.19556371780612558,0.0017303770115012337,0.03455061080976628
see,0.07807212669517404,0.00024214462346683943,0.006784249152732487
seen,-0.28952184747870574,0.0012950037579194807,0.035700027130529256
sense,0.4749508218947814,0.0027382322583708453,0.033317074287124326
set,0.5565962013381944,0.004786177732934065,0.11781604892570474
shall,0.07877740461083234,0.0006163482349881583,0.009761039127715946
show,-0.1321757758814102,0.0004241375543844744,0.006158962137964265
since,0.46931052461104433,0.0038888472085396833,0.07876766264490465
sir,-0.15961657936091758,0.001518203782134625,0.007235808132680793
something,0.14259050595926634,0.0002916788120956859,0.005027761869869267
son,0.5396967172206627,0.005785652803711247,0.1342499228805827
soul,0.35967877448757835,0.003997311206859674,0.14723224891459782
speak,-0.16775022777399998,0.0010247560408944828,0.01828112575837013
st,0.7443409046689978,0.008559573347826435,0.1409570177498308
stand,0.2176038017673895,0.0006270389423511243,0.01392493974029852
stay,0.08807225993702299,9.415671027276734e-05,0.0021625063114100894
still,-0.054870504321535604,4.983672246243114e-05,0.0012334206587376498
sweet,-0.2560834564951302,0.0015197167531327913,0.02068194373675113
take,-0.08643023671396095,0.00023081803869578202,0.005867509789655272
tell,-0.3743805760112851,0.004794779284589986,0.07617390446819135
th,0.12882753313615825,0.0007325844281269533,0.01626263359412471
thee,0.506610203389226,0.010762465485928015,0.12970488784288653
therefore,0.4400334863778347,0.0025640885009219467,0.034166409775391156
thine,0.9006061419240505,0.009845613978906912,0.1164740002422868
thing,-0.28785684202550926,0.0012801517642116505,0.030979130603483836
think,-0.324618298873681,0.0045351422349712124,0.05740591144014904
